y_px,x_px,sigma_px,height_nm,mean_nm,baseline_nm,area_px,x_nm,y_nm,method
140.0,217.0,2.923192024230957,950.6871032714844,939.21337890625,472.0145568847656,57,1271.484375,820.3125,baseline
372.0,412.0,2.923192024230957,774.0234375,795.8888549804688,340.0966796875,57,2414.0625,2179.6875,baseline
83.0,148.0,2.923192024230957,750.2111206054688,865.000732421875,379.49822998046875,57,867.1875,486.328125,baseline
66.0,224.0,2.923192024230957,831.8054809570312,855.1622924804688,456.68109130859375,57,1312.5,386.71875,baseline
222.0,449.0,2.923192024230957,825.3232269287109,711.9464111328125,242.06385803222656,57,2630.859375,1300.78125,baseline
487.0,350.0,2.923192024230957,784.1728515625,813.6573486328125,430.0479736328125,57,2050.78125,2853.515625,baseline
216.0,411.0,2.923192024230957,795.0291137695312,850.4812622070312,379.00653076171875,57,2408.203125,1265.625,baseline
198.0,468.0,2.923192024230957,830.31689453125,756.349853515625,308.2232666015625,57,2742.1875,1160.15625,baseline
317.0,405.0,2.923192024230957,866.37255859375,838.1666870117188,414.5755615234375,57,2373.046875,1857.421875,baseline
312.0,329.0,3.8847882747650146,922.2948913574219,734.30517578125,341.5948791503906,97,1927.734375,1828.125,baseline
353.0,309.0,2.923192024230957,787.6472778320312,796.4207763671875,410.72064208984375,57,1810.546875,2068.359375,baseline
274.0,423.0,3.8847882747650146,855.980712890625,739.6398315429688,356.243408203125,97,2478.515625,1605.46875,baseline
305.0,158.0,3.8847882747650146,927.0736083984375,675.7898559570312,307.1173095703125,97,925.78125,1787.109375,baseline
331.0,143.0,3.8847882747650146,780.6453552246094,751.063232421875,380.5182189941406,97,837.890625,1939.453125,baseline
156.0,415.0,2.923192024230957,806.97802734375,897.3086547851562,421.2615966796875,57,2431.640625,914.0625,baseline
268.0,15.0,3.8847882747650146,944.5603332519531,643.84130859375,262.6340026855469,97,87.890625,1570.3125,baseline
332.0,281.0,2.923192024230957,774.2505493164062,786.1839599609375,342.96917724609375,57,1646.484375,1945.3125,baseline
178.0,288.0,2.923192024230957,795.5099487304688,832.1842651367188,359.06781005859375,57,1687.5,1042.96875,baseline
54.0,193.0,2.923192024230957,888.4732360839844,672.6195068359375,206.37283325195312,57,1130.859375,316.40625,baseline
357.0,263.0,3.8847882747650146,772.0146179199219,668.1093139648438,287.4228820800781,97,1541.015625,2091.796875,baseline
352.0,159.0,3.8847882747650146,823.3245544433594,791.4906005859375,413.6648254394531,97,931.640625,2062.5,baseline
442.0,130.0,3.8847882747650146,930.9192810058594,835.3901977539062,481.9012756347656,97,761.71875,2589.84375,baseline
335.0,0.0,3.8847882747650146,777.0852355957031,827.969482421875,486.7392272949219,54,0.0,1962.890625,baseline
462.0,169.0,2.923192024230957,821.4645385742188,872.827880859375,470.46868896484375,57,990.234375,2707.03125,baseline
455.0,39.0,3.8847882747650146,760.8236083984375,750.0194091796875,376.267578125,97,228.515625,2666.015625,baseline
479.0,407.0,2.923192024230957,811.482421875,706.8760375976562,284.7215576171875,57,2384.765625,2806.640625,baseline
149.0,88.0,2.923192024230957,812.3823547363281,783.8577880859375,346.6315612792969,57,515.625,873.046875,baseline
151.0,125.0,2.923192024230957,774.6920471191406,732.6874389648438,281.5122985839844,57,732.421875,884.765625,baseline
37.0,413.0,1.9615960121154785,724.5544128417969,783.5379638671875,273.2599182128906,21,2419.921875,216.796875,baseline
495.0,98.0,2.923192024230957,892.7198181152344,743.1973266601562,341.7499084472656,57,574.21875,2900.390625,baseline
388.0,142.0,2.923192024230957,794.4832458496094,759.0467529296875,355.3479309082031,57,832.03125,2273.4375,baseline
379.0,21.0,2.923192024230957,711.4241638183594,772.4522094726562,372.3130187988281,57,123.046875,2220.703125,baseline
